Series;Time;Value
Mu;2018-06-10T23:59:30+02:00;52.4162
Mu;2018-06-11T00:00:30+02:00;52.2319
Mu;2018-06-11T00:01:30+02:00;51.9373
Mu;2018-06-11T00:02:30+02:00;51.7234
Mu;2018-06-11T00:03:30+02:00;51.4935
Mu;2018-06-11T00:04:30+02:00;51.288
Mu;2018-06-11T00:05:30+02:00;51.0448
Mu;2018-06-11T00:06:30+02:00;50.791
Mu;2018-06-11T00:07:30+02:00;50.6162
Mu;2018-06-11T00:08:30+02:00;50.4033
Mu;2018-06-11T00:09:30+02:00;50.137
Mu;2018-06-11T00:10:30+02:00;49.566
Mu;2018-06-11T00:11:30+02:00;48.9618
Mu;2018-06-11T00:12:30+02:00;46.9023
Mu;2018-06-11T00:13:30+02:00;37.5678
Mu;2018-06-11T00:14:30+02:00;29.3498
Mu;2018-06-11T00:15:30+02:00;31.5014
Mu;2018-06-11T00:16:30+02:00;16.0054
Mu;2018-06-11T00:17:30+02:00;29.441
Mu;2018-06-11T00:18:30+02:00;23.6123
Mu;2018-06-11T00:19:30+02:00;30.0707
Mu;2018-06-11T00:20:30+02:00;48.403
Mu;2018-06-11T00:21:30+02:00;51.3131
Mu;2018-06-11T00:22:30+02:00;51.2463
Mu;2018-06-11T00:23:30+02:00;51.1945
Mu;2018-06-11T00:24:30+02:00;51.1527
Mu;2018-06-11T00:25:30+02:00;51.1238
Mu;2018-06-11T00:26:30+02:00;50.9822
Mu;2018-06-11T00:27:30+02:00;50.8597
Mu;2018-06-11T00:28:30+02:00;50.7468
Mu;2018-06-11T00:29:30+02:00;50.6596
Mu;2018-06-11T00:30:30+02:00;50.5707
Mu;2018-06-11T00:31:30+02:00;50.4421
Mu;2018-06-11T00:32:30+02:00;50.3135
Mu;2018-06-11T00:33:30+02:00;50.1965
Mu;2018-06-11T00:34:30+02:00;50.0778
Mu;2018-06-11T00:35:30+02:00;49.9791
Mu;2018-06-11T00:36:30+02:00;49.8474
Mu;2018-06-11T00:37:30+02:00;49.7303
Mu;2018-06-11T00:38:30+02:00;49.6033
Mu;2018-06-11T00:39:30+02:00;49.5865
Mu;2018-06-11T00:40:30+02:00;49.4751
Mu;2018-06-11T00:41:30+02:00;49.0045
Mu;2018-06-11T00:42:30+02:00;48.3034
Mu;2018-06-11T00:43:30+02:00;47.7106
Mu;2018-06-11T00:44:30+02:00;48.8446
Mu;2018-06-11T00:45:30+02:00;49.5805
Mu;2018-06-11T00:46:30+02:00;49.6408
Mu;2018-06-11T00:47:30+02:00;49.6238
Mu;2018-06-11T00:48:30+02:00;49.5585
Mu;2018-06-11T00:49:30+02:00;49.468
Mu;2018-06-11T00:50:30+02:00;49.3194
Mu;2018-06-11T00:51:30+02:00;49.1932
Mu;2018-06-11T00:52:30+02:00;49.1055
Mu;2018-06-11T00:53:30+02:00;49.0017
Mu;2018-06-11T00:54:30+02:00;48.9029
Mu;2018-06-11T00:55:30+02:00;48.8826
Mu;2018-06-11T00:56:30+02:00;48.8466
Mu;2018-06-11T00:57:30+02:00;48.7577
Mu;2018-06-11T00:58:30+02:00;48.6717
Mu;2018-06-11T00:59:30+02:00;48.5921
Mu;2018-06-11T01:00:30+02:00;48.4994
Mu;2018-06-11T01:01:30+02:00;48.3983
Mu;2018-06-11T01:02:30+02:00;48.3064
Mu;2018-06-11T01:03:30+02:00;48.2033
Mu;2018-06-11T01:04:30+02:00;48.1244
Mu;2018-06-11T01:05:30+02:00;48.0426
Mu;2018-06-11T01:06:30+02:00;47.9231
Mu;2018-06-11T01:07:30+02:00;47.8159
Mu;2018-06-11T01:08:30+02:00;47.7196
Mu;2018-06-11T01:09:30+02:00;47.6077
Mu;2018-06-11T01:10:30+02:00;47.4721
Mu;2018-06-11T01:11:30+02:00;47.4308
